City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Zhigansk,RU,66.7697,123.3711,-28.89,96,100,14.14,overcast clouds
80,Lebu,CL,-37.6167,-73.65,62.29,70,0,11.03,clear sky
81,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,37,10.92,light rain
82,Luderitz,NA,-26.6481,15.1594,64.71,75,0,16.55,clear sky
83,Albany,US,42.6001,-73.9662,37.45,72,100,1.01,overcast clouds
84,Busselton,AU,-33.65,115.3333,63.05,62,8,17.43,clear sky
85,Kavieng,PG,-2.5744,150.7967,82.31,82,100,12.71,light rain
86,Gamba,GA,-2.65,10.0,77.76,91,100,5.28,light rain
87,Taltal,CL,-25.4,-70.4833,68.5,68,28,10.0,scattered clouds
88,Pishin,PK,30.5803,66.9961,44.17,21,0,2.55,clear sky
89,Lata,PT,40.1629,-8.3327,57.92,95,100,12.08,overcast clouds
90,Anadyr,RU,64.75,177.4833,-15.52,75,0,8.95,clear sky
91,Lompoc,US,34.6391,-120.4579,63.57,84,90,0.0,mist
92,Rusape,ZW,-18.5278,32.1284,72.36,43,71,7.78,broken clouds
93,Torbay,CA,47.6666,-52.7314,59.77,90,90,39.12,light rain
94,Lorengau,PG,-2.0226,147.2712,81.39,85,100,15.21,overcast clouds
95,Sur,OM,22.5667,59.5289,73.4,65,0,6.8,clear sky
96,Rundu,NA,-17.9333,19.7667,69.85,61,92,7.31,overcast clouds
97,Ponta Do Sol,PT,32.6667,-17.1,64.71,70,100,3.65,overcast clouds
98,Trairi,BR,-3.2778,-39.2689,85.62,64,6,14.58,clear sky
99,Chabahar,IR,25.2919,60.643,73.47,64,0,2.28,clear sky
100,Pafos,CY,34.7667,32.4167,67.78,64,40,16.11,light rain
101,Mar Del Plata,AR,-38.0023,-57.5575,73.42,89,20,28.01,few clouds
102,Nouadhibou,MR,20.931,-17.0347,71.58,49,78,11.5,broken clouds
103,Rawson,AR,-43.3002,-65.1023,92.64,26,100,11.52,overcast clouds
104,Goderich,CA,43.7501,-81.7165,25.21,68,100,11.5,overcast clouds
105,Cayenne,GF,4.9333,-52.3333,87.84,81,0,4.0,clear sky
106,Urumqi,CN,43.801,87.6005,25.75,74,100,6.71,light snow
107,Ancud,CL,-41.8697,-73.8203,76.42,80,100,10.33,overcast clouds
108,Hobart,AU,-42.8794,147.3294,44.46,85,75,1.99,broken clouds
109,Mahebourg,MU,-20.4081,57.7,79.09,73,40,6.91,scattered clouds
110,Adrar,MR,20.5022,-10.0711,69.12,11,100,11.7,overcast clouds
111,Nueva Helvecia,UY,-34.3,-57.2333,82.6,38,0,10.67,clear sky
112,Shanghai,CN,31.2222,121.4581,53.47,69,75,1.01,broken clouds
