City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2021-12-03 00:17:12,-33.9258,18.4232,61.27,66,20,4.0
68,Cherskiy,RU,2021-12-03 00:17:27,68.75,161.3,-3.5,98,100,7.38
69,Vila Velha,BR,2021-12-03 00:17:27,-20.3297,-40.2925,75.94,86,75,4.0
70,Kavaratti,IN,2021-12-03 00:17:27,10.5669,72.642,81.45,78,55,5.26
71,Tagusao,PH,2021-12-03 00:17:28,9.1924,117.8141,79.79,81,100,4.12
72,Palembang,ID,2021-12-03 00:17:28,-2.9167,104.7458,78.89,94,20,5.75
73,Taltal,CL,2021-12-03 00:17:28,-25.4,-70.4833,62.89,78,33,3.47
74,Khatanga,RU,2021-12-03 00:17:29,71.9667,102.5,-37.86,100,72,6.2
75,Mainpuri,IN,2021-12-03 00:17:29,27.2333,79.0167,65.16,49,100,7.49
76,La Rioja,ES,2021-12-03 00:17:30,42.25,-2.5,38.05,98,100,18.88
77,Umm Lajj,SA,2021-12-03 00:17:30,25.0213,37.2685,73.36,57,94,10.87
78,Barrow,US,2021-12-03 00:15:02,71.2906,-156.7887,-11.18,77,90,8.05
79,Port-Gentil,GA,2021-12-03 00:17:30,-0.7193,8.7815,81.09,77,98,7.54
80,Gaoual,GN,2021-12-03 00:17:31,11.75,-13.2,75.02,39,34,2.93
81,Nizwa,OM,2021-12-03 00:17:31,22.9333,57.5333,63.36,55,18,0.98
82,Souillac,MU,2021-12-03 00:17:31,-20.5167,57.5167,77.38,88,40,5.75
83,Haines Junction,CA,2021-12-03 00:17:31,60.7522,-137.5108,3.15,60,98,13.8
84,Kayerkan,RU,2021-12-03 00:17:32,69.3497,87.7602,-1.66,94,100,7.29
85,Gorssel,NL,2021-12-03 00:17:32,52.2017,6.2014,34.95,96,25,7.94
86,Hithadhoo,MV,2021-12-03 00:17:32,-0.6,73.0833,81.7,76,92,6.51
87,Narsaq,GL,2021-12-03 00:17:33,60.9167,-46.05,7.54,78,64,5.66
